product_id,title,vendor,price,image_path
85,Electric Screwdriver 141001 – 220V Cordless Power Driver | Compact & High-Torque Tool,Hanbon,0.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\electric_screwdriver_141001_220v_cordless_power_driver_compact_high_torque_tool_electric_screwdriver_rs_0.0.jpg
86,High-Quality Cut-Off Machine 141501 – 355mm | 2750W Heavy-Duty Metal Cutting Saw,Hanbon,0.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\high_quality_cut_off_machine_141501_355mm_2750w_heavy_duty_metal_cutting_saw_high_quality_cut_off_machine_rs_0.0.jpg
90,"Flat Washer 8mm Big – Heavy-Duty Steel Washer (OD 24.28mm, 2mm Thick) for Industrial Fastening",Generic,2.31,D:\ai_warehouse\raw_images\shopify_store\generic\flat_washer_8mm_big_heavy_duty_steel_washer_od_24_28mm_2mm_thick_for_industrial_fastening_flat_washer_8mm_big_rs_2.31.jpg
91,XTCTV205 21V Tile Vibrator – High-Power Cordless Tile Laying Machine | Professional Tile Leveling Tool,XLNT,2699.0,D:\ai_warehouse\raw_images\shopify_store\xlnt\xtctv205_21v_tile_vibrator_high_power_cordless_tile_laying_machine_professional_tile_leveling_tool_21v_rs_2699.0.jpg
92,NAK Oil Seal FB 50×72×80 – High-Performance Rotary Shaft Seal for Industrial Machinery,Generic,126.0,D:\ai_warehouse\raw_images\shopify_store\generic\nak_oil_seal_fb_50_72_80_high_performance_rotary_shaft_seal_for_industrial_machinery_fb_type_oil_seal_rs_126.0.jpg
93,10mm Hex Nut – Heavy Duty M10 Steel Nut for Industrial & Mechanical Use,Generic,3.02,D:\ai_warehouse\raw_images\shopify_store\generic\10mm_hex_nut_heavy_duty_m10_steel_nut_for_industrial_mechanical_use_10mm_m10_rs_3.02.jpg
97,High‑Durability V‑Belt B‑50 (1270 mm),Generic,255.0,D:\ai_warehouse\raw_images\shopify_store\generic\high_durability_v_belt_b_50_1270_mm_b_50_rs_255.0.jpg
98,"4-in-1 Cordless Power Tool Combo Kit (21V, 4Ah Li-ion) – Hammer Drill + Impact Wrench + Drill Driver + Angle Grinder",Generic,7769.0,D:\ai_warehouse\raw_images\shopify_store\generic\4_in_1_cordless_power_tool_combo_kit_21v_4ah_li_ion_hammer_drill_impact_wrench_drill_driver_angle_grinder_cordless_power_tool_combo_kit_rs_7769.0.jpg
99,7 Inch External Circlip Plier – Heavy Duty Snap Ring Plier for Industrial Use,Generic,262.0,D:\ai_warehouse\raw_images\shopify_store\generic\7_inch_external_circlip_plier_heavy_duty_snap_ring_plier_for_industrial_use_external_circlip_plier_7_inch_rs_262.0.jpg
100,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
